dataT   dataTErr   dataB   dataE   dataTr   dataRALRAR   dataRATRAB   dataSpinRot   Asy   AsyPosErr   AsyNegErr   Lambda   LambdaPosErr   LambdaNegErr   Ph   PhPosErr   PhNegErr   Field   FieldPosErr   FieldNegErr   RelPh_L   RelPh_LPosErr   RelPh_LNegErr   N0_L   N0_LPosErr   N0_LNegErr   N_bkg_L   N_bkg_LPosErr   N_bkg_LNegErr   RelPh_T   RelPh_TPosErr   RelPh_TNegErr   N0_T   N0_TPosErr   N0_TNegErr   N_bkg_T   N_bkg_TPosErr   N_bkg_TNegErr   RelPh_R   RelPh_RPosErr   RelPh_RNegErr   alpha_LR   alpha_LRPosErr   alpha_LRNegErr   N_bkg_R   N_bkg_RPosErr   N_bkg_RNegErr   RelPh_B   RelPh_BPosErr   RelPh_BNegErr   alpha_TB   alpha_TBPosErr   alpha_TBNegErr   N_bkg_B   N_bkg_BPosErr   N_bkg_BNegErr   CHISQ   NDF   CHISQred   RUN   AsymCorrected   AsymCorrectedErr   AsymAg   DiaFrac   DiaFracErr
  260.0000     0.0080    99.4220     3.9811    15.0030    -0.0080    -0.0060   -10.0000     0.1080     0.0017     0.0016     0.1220     0.0080     0.0078    23.4100     0.8600     0.8600   100.7990     0.0900     0.0900     0.0000     0.0000     0.0000   301.9700     0.4700     0.4700     4.3850     0.0690     0.0690   -90.0000     0.0000     0.0000   324.5600     0.4900     0.4900     4.6150     0.0710     0.0710   180.0000     0.0000     0.0000     1.1134     0.0024     0.0024     5.3370     0.0730     0.0730    90.0000     0.0000     0.0000     0.9437     0.0021     0.0020     4.6280     0.0700     0.0700  3709.6001  3648.0000     1.0169  1151.0000     0.0871     0.0017     0.1770     0.4923     0.0096
  260.0000     0.0090    99.4240     5.9798    15.0023    -0.0080    -0.0060   -10.0000     0.1142     0.0018     0.0018     0.1862     0.0095     0.0093    20.5200     0.8800     0.8800   101.2400     0.1100     0.1100     0.0000     0.0000     0.0000   301.3500     0.4700     0.4700     4.4690     0.0690     0.0690   -90.0000     0.0000     0.0000   322.4300     0.4900     0.4900     4.7600     0.0710     0.0710   180.0000     0.0000     0.0000     1.1079     0.0024     0.0024     5.3200     0.0730     0.0730    90.0000     0.0000     0.0000     0.9508     0.0021     0.0021     4.5680     0.0700     0.0700  3554.3999  3648.0000     0.9743  1150.0000     0.1009     0.0018     0.1971     0.5120     0.0091
  260.0000     0.0060    99.4250     7.9819    15.0026    -0.0080    -0.0060   -10.0000     0.1130     0.0018     0.0018     0.1707     0.0091     0.0089    21.8600     0.8700     0.8700   101.2900     0.1000     0.1000     0.0000     0.0000     0.0000   303.0800     0.4700     0.4800     4.3980     0.0690     0.0690   -90.0000     0.0000     0.0000   322.9100     0.4900     0.4800     4.7020     0.0710     0.0710   180.0000     0.0000     0.0000     1.1027     0.0024     0.0024     5.2930     0.0730     0.0730    90.0000     0.0000     0.0000     0.9507     0.0021     0.0021     4.5450     0.0700     0.0700  3662.8000  3648.0000     1.0041  1149.0000     0.1022     0.0018     0.2072     0.4934     0.0087
  260.0000     0.0060    99.4240     9.9805    15.0030    -0.0080    -0.0060   -10.0000     0.1153     0.0017     0.0017     0.1493     0.0083     0.0081    21.6000     0.8300     0.8300   101.3250     0.0920     0.0920     0.0000     0.0000     0.0000   303.7600     0.4800     0.4700     4.3970     0.0690     0.0690   -90.0000     0.0000     0.0000   321.5800     0.4900     0.4800     4.8000     0.0710     0.0710   180.0000     0.0000     0.0000     1.0941     0.0024     0.0024     5.3280     0.0730     0.0730    90.0000     0.0000     0.0000     0.9561     0.0021     0.0021     4.6310     0.0700     0.0700  3716.6001  3648.0000     1.0188  1152.0000     0.1054     0.0017     0.2126     0.4956     0.0080
  260.0000     0.0060    99.4250    10.9813    15.0024    -0.0080    -0.0060   -10.0000     0.1114     0.0017     0.0017     0.1392     0.0083     0.0082    18.2500     0.8500     0.8500   101.5710     0.0920     0.0920     0.0000     0.0000     0.0000   302.5900     0.4700     0.4700     4.5400     0.0690     0.0690   -90.0000     0.0000     0.0000   321.9600     0.4900     0.4900     4.9440     0.0720     0.0720   180.0000     0.0000     0.0000     1.1002     0.0024     0.0024     5.4940     0.0740     0.0740    90.0000     0.0000     0.0000     0.9525     0.0021     0.0021     4.7490     0.0700     0.0700  3614.8000  3648.0000     0.9909  1153.0000     0.1017     0.0017     0.2143     0.4743     0.0079
  260.0000     0.0060    99.4250    11.9834    15.0024    -0.0080    -0.0060   -10.0000     0.1027     0.0016     0.0016     0.1183     0.0083     0.0081    18.2200     0.9000     0.9000   101.1080     0.0930     0.0930     0.0000     0.0000     0.0000   302.5000     0.4800     0.4800     4.5740     0.0700     0.0700   -90.0000     0.0000     0.0000   321.5700     0.4900     0.4900     4.8820     0.0710     0.0710   180.0000     0.0000     0.0000     1.1014     0.0024     0.0024     5.4490     0.0730     0.0730    90.0000     0.0000     0.0000     0.9569     0.0021     0.0021     4.6530     0.0700     0.0700  3759.3999  3648.0000     1.0305  1154.0000     0.0931     0.0016     0.2156     0.4315     0.0074
  260.0000     0.0080    99.4240    12.9803    15.0025    -0.0080    -0.0060   -10.0000     0.0954     0.0016     0.0016     0.0909     0.0080     0.0079    14.4700     0.9400     0.9400   101.1510     0.0910     0.0910     0.0000     0.0000     0.0000   303.2400     0.4700     0.4800     4.4000     0.0690     0.0690   -90.0000     0.0000     0.0000   321.3500     0.4900     0.4900     4.8710     0.0720     0.0720   180.0000     0.0000     0.0000     1.0991     0.0024     0.0024     5.2770     0.0730     0.0730    90.0000     0.0000     0.0000     0.9560     0.0021     0.0021     4.7920     0.0700     0.0700  3681.8999  3648.0000     1.0093  1155.0000     0.0858     0.0016     0.2166     0.3961     0.0074
  260.0010     0.0050    99.4250    13.9946    15.0027    -0.0080    -0.0060   -10.0000     0.0830     0.0015     0.0015     0.0474     0.0077     0.0075    11.8000     1.0000     1.0000   101.1020     0.0890     0.0890     0.0000     0.0000     0.0000   303.5400     0.4700     0.4700     4.3940     0.0690     0.0690   -90.0000     0.0000     0.0000   322.4800     0.4900     0.4900     4.7190     0.0710     0.0710   180.0000     0.0000     0.0000     1.1009     0.0024     0.0024     5.2670     0.0730     0.0730    90.0000     0.0000     0.0000     0.9574     0.0021     0.0021     4.5960     0.0700     0.0700  3511.6001  3648.0000     0.9626  1156.0000     0.0735     0.0015     0.2174     0.3378     0.0069
  260.0000     0.0050    99.4250    14.9936    15.0027    -0.0080    -0.0060   -10.0000     0.0802     0.0016     0.0016     0.0419     0.0086     0.0084     7.6000     1.1000     1.1000   101.2880     0.0960     0.0960     0.0000     0.0000     0.0000   256.1900     0.4400     0.4300     3.7690     0.0630     0.0640   -90.0000     0.0000     0.0000   272.3500     0.4500     0.4500     3.9930     0.0650     0.0660   180.0000     0.0000     0.0000     1.1047     0.0026     0.0026     4.3960     0.0680     0.0670    90.0000     0.0000     0.0000     0.9598     0.0023     0.0023     3.9290     0.0640     0.0640  3713.0000  3648.0000     1.0178  1157.0000     0.0707     0.0016     0.2180     0.3242     0.0073
  260.0000     0.0070    99.4250    15.9956    15.0030    -0.0080    -0.0060   -10.0000     0.0772     0.0014     0.0014     0.0306     0.0077     0.0076     3.1000     1.1000     1.1000   101.2550     0.0880     0.0880     0.0000     0.0000     0.0000   303.5800     0.4700     0.4700     4.1880     0.0680     0.0680   -90.0000     0.0000     0.0000   321.9600     0.4900     0.4900     4.6510     0.0710     0.0710   180.0000     0.0000     0.0000     1.1020     0.0024     0.0024     4.8620     0.0720     0.0720    90.0000     0.0000     0.0000     0.9616     0.0021     0.0021     4.4080     0.0690     0.0690  3660.5000  3648.0000     1.0034  1158.0000     0.0677     0.0014     0.2185     0.3098     0.0064
  260.0000     0.0060    99.4270    17.9965    15.0023    -0.0080    -0.0060   -10.0000     0.0707     0.0014     0.0014     0.0195     0.0081     0.0080     2.4000     1.1000     1.1000   101.2420     0.0920     0.0920     0.0000     0.0000     0.0000   301.9500     0.4700     0.4700     4.3630     0.0690     0.0690   -90.0000     0.0000     0.0000   320.2000     0.4800     0.4800     4.5140     0.0700     0.0710   180.0000     0.0000     0.0000     1.0976     0.0024     0.0024     5.2190     0.0730     0.0730    90.0000     0.0000     0.0000     0.9629     0.0021     0.0021     4.4640     0.0700     0.0690  3514.7000  3648.0000     0.9635  1159.0000     0.0612     0.0014     0.2191     0.2793     0.0064
