dataT   dataTErr   dataB   dataE   dataTr   dataRALRAR   dataRATRAB   dataSpinRot   Asy   AsyPosErr   AsyNegErr   Lambda   LambdaPosErr   LambdaNegErr   Ph   PhPosErr   PhNegErr   Field   FieldPosErr   FieldNegErr   RelPh_L   RelPh_LPosErr   RelPh_LNegErr   N0_L   N0_LPosErr   N0_LNegErr   N_bkg_L   N_bkg_LPosErr   N_bkg_LNegErr   RelPh_T   RelPh_TPosErr   RelPh_TNegErr   N0_T   N0_TPosErr   N0_TNegErr   N_bkg_T   N_bkg_TPosErr   N_bkg_TNegErr   RelPh_R   RelPh_RPosErr   RelPh_RNegErr   alpha_LR   alpha_LRPosErr   alpha_LRNegErr   N_bkg_R   N_bkg_RPosErr   N_bkg_RNegErr   RelPh_B   RelPh_BPosErr   RelPh_BNegErr   alpha_TB   alpha_TBPosErr   alpha_TBNegErr   N_bkg_B   N_bkg_BPosErr   N_bkg_BNegErr   CHISQ   NDF   CHISQred   RUN   AsymCorrected   AsymCorrectedErr   AsymAg   DiaFrac   DiaFracErr
   10.0010     0.0040    99.4750     3.9799    15.0030    -0.0090    -0.0060   -10.0000     0.1099     0.0026     0.0026     0.2380     0.0160     0.0160    23.0000     1.3000     1.3000   102.3100     0.1800     0.1700     0.0000     0.0000     0.0000   165.8600     0.3500     0.3500     2.2920     0.0500     0.0510   -90.0000     0.0000     0.0000   175.8400     0.3600     0.3600     2.3350     0.0520     0.0520   180.0000     0.0000     0.0000     1.0321     0.0031     0.0031     2.5410     0.0520     0.0520    90.0000     0.0000     0.0000     0.9439     0.0028     0.0028     2.3310     0.0510     0.0510  3603.1001  3648.0000     0.9877  2644.0000     0.0890     0.0026     0.1770     0.5031     0.0147
   10.0000     0.0040    99.4730     4.9812    15.0030    -0.0070    -0.0060   -10.0000     0.1034     0.0026     0.0026     0.2450     0.0170     0.0170    26.5000     1.4000     1.4000   102.0900     0.1900     0.1900     0.0000     0.0000     0.0000   169.7300     0.3600     0.3500     2.3230     0.0510     0.0510   -90.0000     0.0000     0.0000   178.9500     0.3600     0.3600     2.4290     0.0520     0.0530   180.0000     0.0000     0.0000     1.0168     0.0030     0.0030     2.6130     0.0520     0.0530    90.0000     0.0000     0.0000     0.9431     0.0027     0.0028     2.3600     0.0510     0.0510  3789.6001  3648.0000     1.0388  2643.0000     0.0873     0.0026     0.1888     0.4625     0.0138
   10.0000     0.0030    99.4750     5.9810    15.0030    -0.0080    -0.0060   -10.0000     0.1006     0.0021     0.0021     0.2150     0.0140     0.0130    23.8000     1.2000     1.2000   102.4200     0.1500     0.1500     0.0000     0.0000     0.0000   235.3900     0.4200     0.4200     3.1400     0.0600     0.0600   -90.0000     0.0000     0.0000   246.7300     0.4200     0.4300     3.4510     0.0620     0.0620   180.0000     0.0000     0.0000     1.0191     0.0025     0.0026     3.6300     0.0620     0.0620    90.0000     0.0000     0.0000     0.9477     0.0024     0.0024     3.4000     0.0610     0.0610  3527.2000  3648.0000     0.9669  2642.0000     0.0873     0.0021     0.1971     0.4429     0.0107
    9.9990     0.0030    99.4700     6.9823    15.0030    -0.0080    -0.0060   -10.0000     0.0931     0.0022     0.0022     0.1990     0.0150     0.0150    23.6000     1.3000     1.3000   102.4500     0.1600     0.1600     0.0000     0.0000     0.0000   208.3500     0.3900     0.3900     2.8440     0.0570     0.0560   -90.0000     0.0000     0.0000   218.1600     0.4000     0.4000     3.0880     0.0580     0.0590   180.0000     0.0000     0.0000     1.0190     0.0027     0.0027     3.1900     0.0580     0.0580    90.0000     0.0000     0.0000     0.9546     0.0025     0.0025     2.8410     0.0570     0.0570  3722.1001  3648.0000     1.0203  2641.0000     0.0814     0.0022     0.2029     0.4011     0.0108
   10.0000     0.0030    99.4760     8.9827    15.0030    -0.0080    -0.0060   -10.0000     0.0755     0.0019     0.0019     0.1220     0.0130     0.0130    22.1000     1.4000     1.4000   102.5300     0.1500     0.1500     0.0000     0.0000     0.0000   239.0600     0.4200     0.4200     3.2200     0.0610     0.0610   -90.0000     0.0000     0.0000   250.5500     0.4300     0.4300     3.4680     0.0620     0.0620   180.0000     0.0000     0.0000     1.0225     0.0025     0.0025     3.6170     0.0620     0.0620    90.0000     0.0000     0.0000     0.9531     0.0024     0.0023     3.3410     0.0610     0.0610  3711.7000  3648.0000     1.0175  2645.0000     0.0653     0.0019     0.2103     0.3103     0.0090
   10.0000     0.0030    99.4760     9.9817    15.0030    -0.0090    -0.0060   -10.0000     0.0632     0.0018     0.0018     0.0670     0.0130     0.0130    20.9000     1.5000     1.5000   102.5200     0.1400     0.1400     0.0000     0.0000     0.0000   239.4600     0.4200     0.4200     3.1800     0.0600     0.0610   -90.0000     0.0000     0.0000   250.1500     0.4300     0.4300     3.3600     0.0620     0.0620   180.0000     0.0000     0.0000     1.0200     0.0025     0.0025     3.6390     0.0620     0.0620    90.0000     0.0000     0.0000     0.9557     0.0024     0.0023     3.3800     0.0610     0.0610  3630.3999  3648.0000     0.9952  2646.0000     0.0533     0.0018     0.2126     0.2506     0.0085
   10.0000     0.0030    99.4760    10.9845    15.0030    -0.0080    -0.0060   -10.0000     0.0575     0.0018     0.0018     0.0940     0.0160     0.0150    18.3000     1.8000     1.8000   102.7200     0.1700     0.1700     0.0000     0.0000     0.0000   238.2600     0.4200     0.4200     3.3830     0.0610     0.0610   -90.0000     0.0000     0.0000   251.0000     0.4300     0.4300     3.3660     0.0620     0.0620   180.0000     0.0000     0.0000     1.0206     0.0025     0.0025     3.6970     0.0620     0.0620    90.0000     0.0000     0.0000     0.9563     0.0024     0.0023     3.3280     0.0610     0.0610  3713.3999  3648.0000     1.0179  2647.0000     0.0478     0.0018     0.2143     0.2228     0.0084
   10.0010     0.0040    99.4800    11.9821    15.0030    -0.0080    -0.0060   -10.0000     0.0495     0.0018     0.0018     0.0880     0.0170     0.0170    23.6000     2.1000     2.1000   102.2800     0.2000     0.2000     0.0000     0.0000     0.0000   238.5600     0.4200     0.4200     3.2410     0.0600     0.0610   -90.0000     0.0000     0.0000   249.5000     0.4300     0.4300     3.5760     0.0630     0.0620   180.0000     0.0000     0.0000     1.0228     0.0025     0.0026     3.6970     0.0620     0.0620    90.0000     0.0000     0.0000     0.9586     0.0024     0.0024     3.4770     0.0610     0.0610  3697.2000  3648.0000     1.0135  2648.0000     0.0399     0.0018     0.2156     0.1848     0.0083
   10.0000     0.0030    99.4780    12.9825    15.0030    -0.0080    -0.0060   -10.0000     0.0394     0.0018     0.0018     0.0960     0.0230     0.0220    20.8000     2.6000     2.6000   102.1700     0.2600     0.2500     0.0000     0.0000     0.0000   238.0300     0.4200     0.4200     3.2820     0.0610     0.0610   -90.0000     0.0000     0.0000   249.4000     0.4300     0.4300     3.4520     0.0620     0.0620   180.0000     0.0000     0.0000     1.0244     0.0025     0.0026     3.6620     0.0620     0.0620    90.0000     0.0000     0.0000     0.9662     0.0024     0.0024     3.3090     0.0610     0.0610  3644.5000  3648.0000     0.9990  2649.0000     0.0298     0.0018     0.2166     0.1376     0.0083
   10.0000     0.0030    99.4780    13.9949    15.0030    -0.0080    -0.0060   -10.0000     0.0265     0.0018     0.0017     0.0770     0.0320     0.0300    15.6000     3.7000     3.7000   102.7500     0.3500     0.3500     0.0000     0.0000     0.0000   238.7600     0.4200     0.4200     3.1930     0.0600     0.0610   -90.0000     0.0000     0.0000   249.1900     0.4300     0.4300     3.5080     0.0620     0.0630   180.0000     0.0000     0.0000     1.0208     0.0025     0.0025     3.6070     0.0620     0.0620    90.0000     0.0000     0.0000     0.9665     0.0024     0.0024     3.3260     0.0610     0.0610  3904.8000  3648.0000     1.0704  2650.0000     0.0170     0.0018     0.2174     0.0780     0.0083
