% xData0 , data0, errData0, xTheory0 , theory0
3.9812, 0.5488, 0.0096, 0.025, 0.56115609
4.981, 0.5366, 0.009, 0.05, 0.56115609
5.9812, 0.4957, 0.0086, 0.075, 0.56115609
6.9821, 0.4267, 0.0084, 0.1, 0.56115609
7.9839, 0.3723, 0.0077, 0.125, 0.56115609
14.9947, 0.1187, 0.0083, 0.15, 0.56115609
15.995, 0.0745, 0.0078, 0.175, 0.56115609
17.9948, 0.0716, 0.0087, 0.2, 0.56115609
19.9966, 0.0492, 0.0073, 0.225, 0.56115609
 , , , 0.25, 0.56115609
 , , , 0.275, 0.56115609
 , , , 0.3, 0.56115609
 , , , 0.325, 0.56115609
 , , , 0.35, 0.56115609
 , , , 0.375, 0.56115609
 , , , 0.4, 0.56115609
 , , , 0.425, 0.56115609
 , , , 0.45, 0.56115609
 , , , 0.475, 0.56115609
 , , , 0.5, 0.56115609
 , , , 0.525, 0.56115609
 , , , 0.55, 0.56115609
 , , , 0.575, 0.56115609
 , , , 0.6, 0.56115609
 , , , 0.625, 0.56115609
 , , , 0.65, 0.56115609
 , , , 0.675, 0.56115609
 , , , 0.7, 0.56115609
 , , , 0.725, 0.56115609
 , , , 0.75, 0.56115609
 , , , 0.775, 0.56115609
 , , , 0.8, 0.56115609
 , , , 0.825, 0.56115609
 , , , 0.85, 0.56115609
 , , , 0.875, 0.56115609
 , , , 0.9, 0.56115609
 , , , 0.925, 0.56115609
 , , , 0.95, 0.56115609
 , , , 0.975, 0.56115609
 , , , 1, 0.56115609
 , , , 1.025, 0.56115609
 , , , 1.05, 0.56115609
 , , , 1.075, 0.56115609
 , , , 1.1, 0.56115609
 , , , 1.125, 0.56115609
 , , , 1.15, 0.56115609
 , , , 1.175, 0.56115609
 , , , 1.2, 0.56115609
 , , , 1.225, 0.56115609
 , , , 1.25, 0.56115609
 , , , 1.275, 0.56115609
 , , , 1.3, 0.56115609
 , , , 1.325, 0.56115609
 , , , 1.35, 0.56115609
 , , , 1.375, 0.56115609
 , , , 1.4, 0.56115609
 , , , 1.425, 0.56115609
 , , , 1.45, 0.56115609
 , , , 1.475, 0.56115609
 , , , 1.5, 0.56115609
 , , , 1.525, 0.56115609
 , , , 1.55, 0.56115609
 , , , 1.575, 0.56115609
 , , , 1.6, 0.56115609
 , , , 1.625, 0.56115609
 , , , 1.65, 0.56115609
 , , , 1.675, 0.56115609
 , , , 1.7, 0.56115609
 , , , 1.725, 0.56115609
 , , , 1.75, 0.56115609
 , , , 1.775, 0.56115609
 , , , 1.8, 0.56115609
 , , , 1.825, 0.56115609
 , , , 1.85, 0.56115609
 , , , 1.875, 0.56115609
 , , , 1.9, 0.56115609
 , , , 1.925, 0.56115609
 , , , 1.95, 0.56115609
 , , , 1.975, 0.56115609
 , , , 2, 0.56115609
 , , , 2.025, 0.56115609
 , , , 2.05, 0.56115609
 , , , 2.075, 0.56115609
 , , , 2.1, 0.56115609
 , , , 2.125, 0.56115609
 , , , 2.15, 0.56115609
 , , , 2.175, 0.56115609
 , , , 2.2, 0.56115609
 , , , 2.225, 0.56115609
 , , , 2.25, 0.56115609
 , , , 2.275, 0.56115609
 , , , 2.3, 0.56115609
 , , , 2.325, 0.56115609
 , , , 2.35, 0.56115609
 , , , 2.375, 0.56115609
 , , , 2.4, 0.56115609
 , , , 2.425, 0.56115609
 , , , 2.45, 0.56115609
 , , , 2.475, 0.56115609
 , , , 2.5, 0.56115609
 , , , 2.525, 0.56115609
 , , , 2.55, 0.56115609
 , , , 2.575, 0.56115609
 , , , 2.6, 0.56115609
 , , , 2.625, 0.56115609
 , , , 2.65, 0.56115609
 , , , 2.675, 0.56115609
 , , , 2.7, 0.56115609
 , , , 2.725, 0.56115609
 , , , 2.75, 0.56115609
 , , , 2.775, 0.56115609
 , , , 2.8, 0.56115609
 , , , 2.825, 0.56115609
 , , , 2.85, 0.56115609
 , , , 2.875, 0.56115609
 , , , 2.9, 0.56115609
 , , , 2.925, 0.56115609
 , , , 2.95, 0.56115609
 , , , 2.975, 0.56115609
 , , , 3, 0.56115609
 , , , 3.025, 0.561151109
 , , , 3.05, 0.561151109
 , , , 3.075, 0.561151109
 , , , 3.1, 0.561151109
 , , , 3.125, 0.561151109
 , , , 3.15, 0.561151109
 , , , 3.175, 0.561151109
 , , , 3.2, 0.561151109
 , , , 3.225, 0.561151109
 , , , 3.25, 0.561151109
 , , , 3.275, 0.561151109
 , , , 3.3, 0.561151109
 , , , 3.325, 0.561151109
 , , , 3.35, 0.561151109
 , , , 3.375, 0.561151109
 , , , 3.4, 0.561151109
 , , , 3.425, 0.561151109
 , , , 3.45, 0.561151109
 , , , 3.475, 0.561151109
 , , , 3.5, 0.561151109
 , , , 3.525, 0.561151109
 , , , 3.55, 0.561151109
 , , , 3.575, 0.561151109
 , , , 3.6, 0.561151109
 , , , 3.625, 0.561151109
 , , , 3.65, 0.561151109
 , , , 3.675, 0.561151109
 , , , 3.7, 0.561151109
 , , , 3.725, 0.561151109
 , , , 3.75, 0.561151109
 , , , 3.775, 0.561151109
 , , , 3.8, 0.561151109
 , , , 3.825, 0.561151109
 , , , 3.85, 0.561151109
 , , , 3.875, 0.561151109
 , , , 3.9, 0.561151109
 , , , 3.925, 0.561151109
 , , , 3.95, 0.561151109
 , , , 3.975, 0.561151109
 , , , 4, 0.561151109
 , , , 4.025, 0.559263912
 , , , 4.05, 0.559263912
 , , , 4.075, 0.559263912
 , , , 4.1, 0.559263912
 , , , 4.125, 0.559263912
 , , , 4.15, 0.559263912
 , , , 4.175, 0.559263912
 , , , 4.2, 0.559263912
 , , , 4.225, 0.559263912
 , , , 4.25, 0.559263912
 , , , 4.275, 0.559263912
 , , , 4.3, 0.559263912
 , , , 4.325, 0.559263912
 , , , 4.35, 0.559263912
 , , , 4.375, 0.559263912
 , , , 4.4, 0.559263912
 , , , 4.425, 0.559263912
 , , , 4.45, 0.559263912
 , , , 4.475, 0.559263912
 , , , 4.5, 0.559263912
 , , , 4.525, 0.559263912
 , , , 4.55, 0.559263912
 , , , 4.575, 0.559263912
 , , , 4.6, 0.559263912
 , , , 4.625, 0.559263912
 , , , 4.65, 0.559263912
 , , , 4.675, 0.559263912
 , , , 4.7, 0.559263912
 , , , 4.725, 0.559263912
 , , , 4.75, 0.559263912
 , , , 4.775, 0.559263912
 , , , 4.8, 0.559263912
 , , , 4.825, 0.559263912
 , , , 4.85, 0.559263912
 , , , 4.875, 0.559263912
 , , , 4.9, 0.559263912
 , , , 4.925, 0.559263912
 , , , 4.95, 0.559263912
 , , , 4.975, 0.559263912
 , , , 5, 0.521504837
 , , , 5.025, 0.521504837
 , , , 5.05, 0.521504837
 , , , 5.075, 0.521504837
 , , , 5.1, 0.521504837
 , , , 5.125, 0.521504837
 , , , 5.15, 0.521504837
 , , , 5.175, 0.521504837
 , , , 5.2, 0.521504837
 , , , 5.225, 0.521504837
 , , , 5.25, 0.521504837
 , , , 5.275, 0.521504837
 , , , 5.3, 0.521504837
 , , , 5.325, 0.521504837
 , , , 5.35, 0.521504837
 , , , 5.375, 0.521504837
 , , , 5.4, 0.521504837
 , , , 5.425, 0.521504837
 , , , 5.45, 0.521504837
 , , , 5.475, 0.521504837
 , , , 5.5, 0.521504837
 , , , 5.525, 0.521504837
 , , , 5.55, 0.521504837
 , , , 5.575, 0.521504837
 , , , 5.6, 0.521504837
 , , , 5.625, 0.521504837
 , , , 5.65, 0.521504837
 , , , 5.675, 0.521504837
 , , , 5.7, 0.521504837
 , , , 5.725, 0.521504837
 , , , 5.75, 0.521504837
 , , , 5.775, 0.521504837
 , , , 5.8, 0.521504837
 , , , 5.825, 0.521504837
 , , , 5.85, 0.521504837
 , , , 5.875, 0.521504837
 , , , 5.9, 0.521504837
 , , , 5.925, 0.521504837
 , , , 5.95, 0.521504837
 , , , 5.975, 0.521504837
 , , , 6, 0.404854868
 , , , 6.025, 0.404854868
 , , , 6.05, 0.404854868
 , , , 6.075, 0.404854868
 , , , 6.1, 0.404854868
 , , , 6.125, 0.404854868
 , , , 6.15, 0.404854868
 , , , 6.175, 0.404854868
 , , , 6.2, 0.404854868
 , , , 6.225, 0.404854868
 , , , 6.25, 0.404854868
 , , , 6.275, 0.404854868
 , , , 6.3, 0.404854868
 , , , 6.325, 0.404854868
 , , , 6.35, 0.404854868
 , , , 6.375, 0.404854868
 , , , 6.4, 0.404854868
 , , , 6.425, 0.404854868
 , , , 6.45, 0.404854868
 , , , 6.475, 0.404854868
 , , , 6.5, 0.404854868
 , , , 6.525, 0.404854868
 , , , 6.55, 0.404854868
 , , , 6.575, 0.404854868
 , , , 6.6, 0.404854868
 , , , 6.625, 0.404854868
 , , , 6.65, 0.404854868
 , , , 6.675, 0.404854868
 , , , 6.7, 0.404854868
 , , , 6.725, 0.404854868
 , , , 6.75, 0.404854868
 , , , 6.775, 0.404854868
 , , , 6.8, 0.404854868
 , , , 6.825, 0.404854868
 , , , 6.85, 0.404854868
 , , , 6.875, 0.404854868
 , , , 6.9, 0.404854868
 , , , 6.925, 0.404854868
 , , , 6.95, 0.404854868
 , , , 6.975, 0.404854868
 , , , 7, 0.279268402
 , , , 7.025, 0.279268402
 , , , 7.05, 0.279268402
 , , , 7.075, 0.279268402
 , , , 7.1, 0.279268402
 , , , 7.125, 0.279268402
 , , , 7.15, 0.279268402
 , , , 7.175, 0.279268402
 , , , 7.2, 0.279268402
 , , , 7.225, 0.279268402
 , , , 7.25, 0.279268402
 , , , 7.275, 0.279268402
 , , , 7.3, 0.279268402
 , , , 7.325, 0.279268402
 , , , 7.35, 0.279268402
 , , , 7.375, 0.279268402
 , , , 7.4, 0.279268402
 , , , 7.425, 0.279268402
 , , , 7.45, 0.279268402
 , , , 7.475, 0.279268402
 , , , 7.5, 0.279268402
 , , , 7.525, 0.279268402
 , , , 7.55, 0.279268402
 , , , 7.575, 0.279268402
 , , , 7.6, 0.279268402
 , , , 7.625, 0.279268402
 , , , 7.65, 0.279268402
 , , , 7.675, 0.279268402
 , , , 7.7, 0.279268402
 , , , 7.725, 0.279268402
 , , , 7.75, 0.279268402
 , , , 7.775, 0.279268402
 , , , 7.8, 0.279268402
 , , , 7.825, 0.279268402
 , , , 7.85, 0.279268402
 , , , 7.875, 0.279268402
 , , , 7.9, 0.279268402
 , , , 7.925, 0.279268402
 , , , 7.95, 0.279268402
 , , , 7.975, 0.279268402
 , , , 8, 0.196440907
 , , , 8.025, 0.196440907
 , , , 8.05, 0.196440907
 , , , 8.075, 0.196440907
 , , , 8.1, 0.196440907
 , , , 8.125, 0.196440907
 , , , 8.15, 0.196440907
 , , , 8.175, 0.196440907
 , , , 8.2, 0.196440907
 , , , 8.225, 0.196440907
 , , , 8.25, 0.196440907
 , , , 8.275, 0.196440907
 , , , 8.3, 0.196440907
 , , , 8.325, 0.196440907
 , , , 8.35, 0.196440907
 , , , 8.375, 0.196440907
 , , , 8.4, 0.196440907
 , , , 8.425, 0.196440907
 , , , 8.45, 0.196440907
 , , , 8.475, 0.196440907
 , , , 8.5, 0.196440907
 , , , 8.525, 0.196440907
 , , , 8.55, 0.196440907
 , , , 8.575, 0.196440907
 , , , 8.6, 0.196440907
 , , , 8.625, 0.196440907
 , , , 8.65, 0.196440907
 , , , 8.675, 0.196440907
 , , , 8.7, 0.196440907
 , , , 8.725, 0.196440907
 , , , 8.75, 0.196440907
 , , , 8.775, 0.196440907
 , , , 8.8, 0.196440907
 , , , 8.825, 0.196440907
 , , , 8.85, 0.196440907
 , , , 8.875, 0.196440907
 , , , 8.9, 0.196440907
 , , , 8.925, 0.196440907
 , , , 8.95, 0.196440907
 , , , 8.975, 0.196440907
 , , , 9, 0.149761455
 , , , 9.025, 0.149761455
 , , , 9.05, 0.149761455
 , , , 9.075, 0.149761455
 , , , 9.1, 0.149761455
 , , , 9.125, 0.149761455
 , , , 9.15, 0.149761455
 , , , 9.175, 0.149761455
 , , , 9.2, 0.149761455
 , , , 9.225, 0.149761455
 , , , 9.25, 0.149761455
 , , , 9.275, 0.149761455
 , , , 9.3, 0.149761455
 , , , 9.325, 0.149761455
 , , , 9.35, 0.149761455
 , , , 9.375, 0.149761455
 , , , 9.4, 0.149761455
 , , , 9.425, 0.149761455
 , , , 9.45, 0.149761455
 , , , 9.475, 0.149761455
 , , , 9.5, 0.149761455
 , , , 9.525, 0.149761455
 , , , 9.55, 0.149761455
 , , , 9.575, 0.149761455
 , , , 9.6, 0.149761455
 , , , 9.625, 0.149761455
 , , , 9.65, 0.149761455
 , , , 9.675, 0.149761455
 , , , 9.7, 0.149761455
 , , , 9.725, 0.149761455
 , , , 9.75, 0.149761455
 , , , 9.775, 0.149761455
 , , , 9.8, 0.149761455
 , , , 9.825, 0.149761455
 , , , 9.85, 0.149761455
 , , , 9.875, 0.149761455
 , , , 9.9, 0.149761455
 , , , 9.925, 0.149761455
 , , , 9.95, 0.149761455
 , , , 9.975, 0.149761455
 , , , 10, 0.1229535
 , , , 10.025, 0.1229535
 , , , 10.05, 0.1229535
 , , , 10.075, 0.1229535
 , , , 10.1, 0.1229535
 , , , 10.125, 0.1229535
 , , , 10.15, 0.1229535
 , , , 10.175, 0.1229535
 , , , 10.2, 0.1229535
 , , , 10.225, 0.1229535
 , , , 10.25, 0.1229535
 , , , 10.275, 0.1229535
 , , , 10.3, 0.1229535
 , , , 10.325, 0.1229535
 , , , 10.35, 0.1229535
 , , , 10.375, 0.1229535
 , , , 10.4, 0.1229535
 , , , 10.425, 0.1229535
 , , , 10.45, 0.1229535
 , , , 10.475, 0.1229535
 , , , 10.5, 0.1229535
 , , , 10.525, 0.1229535
