% xData0 , data0, errData0, xTheory0 , theory0
7.9819, 0.4934, 0.0087, 0, 0
5.9798, 0.512, 0.0091, 0.022, 0
3.9811, 0.4923, 0.0096, 0.044, 0
9.9805, 0.4956, 0.008, 0.066, 0
10.9813, 0.4743, 0.0079, 0.088, 0
11.9834, 0.4315, 0.0074, 0.11, 0.4945
12.9803, 0.3961, 0.0074, 0.132, 0.4945
13.9946, 0.3378, 0.0069, 0.154, 0.4945
14.9936, 0.3242, 0.0073, 0.176, 0.4945
15.9956, 0.3098, 0.0064, 0.198, 0.4945
17.9965, 0.2793, 0.0064, 0.22, 0.4945
19.9949, 0.2666, 0.0064, 0.242, 0.4945
 , , , 0.264, 0.4945
 , , , 0.286, 0.4945
 , , , 0.308, 0.4945
 , , , 0.33, 0.4945
 , , , 0.352, 0.4945
 , , , 0.374, 0.4945
 , , , 0.396, 0.4945
 , , , 0.418, 0.4945
 , , , 0.44, 0.4945
 , , , 0.462, 0.4945
 , , , 0.484, 0.4945
 , , , 0.506, 0.4945
 , , , 0.528, 0.4945
 , , , 0.55, 0.4945
 , , , 0.572, 0.4945
 , , , 0.594, 0.4945
 , , , 0.616, 0.4945
 , , , 0.638, 0.4945
 , , , 0.66, 0.4945
 , , , 0.682, 0.4945
 , , , 0.704, 0.4945
 , , , 0.726, 0.4945
 , , , 0.748, 0.4945
 , , , 0.77, 0.4945
 , , , 0.792, 0.4945
 , , , 0.814, 0.4945
 , , , 0.836, 0.4945
 , , , 0.858, 0.4945
 , , , 0.88, 0.4945
 , , , 0.902, 0.4945
 , , , 0.924, 0.4945
 , , , 0.946, 0.4945
 , , , 0.968, 0.4945
 , , , 0.99, 0.4945
 , , , 1.012, 0.4945
 , , , 1.034, 0.4945
 , , , 1.056, 0.4945
 , , , 1.078, 0.4945
 , , , 1.1, 0.4945
 , , , 1.122, 0.4945
 , , , 1.144, 0.4945
 , , , 1.166, 0.4945
 , , , 1.188, 0.4945
 , , , 1.21, 0.4945
 , , , 1.232, 0.4945
 , , , 1.254, 0.4945
 , , , 1.276, 0.4945
 , , , 1.298, 0.4945
 , , , 1.32, 0.4945
 , , , 1.342, 0.4945
 , , , 1.364, 0.4945
 , , , 1.386, 0.4945
 , , , 1.408, 0.4945
 , , , 1.43, 0.4945
 , , , 1.452, 0.4945
 , , , 1.474, 0.4945
 , , , 1.496, 0.4945
 , , , 1.518, 0.4945
 , , , 1.54, 0.4945
 , , , 1.562, 0.4945
 , , , 1.584, 0.4945
 , , , 1.606, 0.4945
 , , , 1.628, 0.4945
 , , , 1.65, 0.4945
 , , , 1.672, 0.4945
 , , , 1.694, 0.4945
 , , , 1.716, 0.4945
 , , , 1.738, 0.4945
 , , , 1.76, 0.4945
 , , , 1.782, 0.4945
 , , , 1.804, 0.4945
 , , , 1.826, 0.4945
 , , , 1.848, 0.4945
 , , , 1.87, 0.4945
 , , , 1.892, 0.4945
 , , , 1.914, 0.4945
 , , , 1.936, 0.4945
 , , , 1.958, 0.4945
 , , , 1.98, 0.4945
 , , , 2.002, 0.4945
 , , , 2.024, 0.4945
 , , , 2.046, 0.4945
 , , , 2.068, 0.4945
 , , , 2.09, 0.4945
 , , , 2.112, 0.4945
 , , , 2.134, 0.4945
 , , , 2.156, 0.4945
 , , , 2.178, 0.4945
 , , , 2.2, 0.4945
 , , , 2.222, 0.4945
 , , , 2.244, 0.4945
 , , , 2.266, 0.4945
 , , , 2.288, 0.4945
 , , , 2.31, 0.4945
 , , , 2.332, 0.4945
 , , , 2.354, 0.4945
 , , , 2.376, 0.4945
 , , , 2.398, 0.4945
 , , , 2.42, 0.4945
 , , , 2.442, 0.4945
 , , , 2.464, 0.4945
 , , , 2.486, 0.4945
 , , , 2.508, 0.4945
 , , , 2.53, 0.4945
 , , , 2.552, 0.4945
 , , , 2.574, 0.4945
 , , , 2.596, 0.4945
 , , , 2.618, 0.4945
 , , , 2.64, 0.4945
 , , , 2.662, 0.4945
 , , , 2.684, 0.4945
 , , , 2.706, 0.4945
 , , , 2.728, 0.4945
 , , , 2.75, 0.4945
 , , , 2.772, 0.4945
 , , , 2.794, 0.4945
 , , , 2.816, 0.4945
 , , , 2.838, 0.4945
 , , , 2.86, 0.4945
 , , , 2.882, 0.4945
 , , , 2.904, 0.4945
 , , , 2.926, 0.4945
 , , , 2.948, 0.4945
 , , , 2.97, 0.4945
 , , , 2.992, 0.4945
 , , , 3.014, 0.4945
 , , , 3.036, 0.4945
 , , , 3.058, 0.4945
 , , , 3.08, 0.4945
 , , , 3.102, 0.4945
 , , , 3.124, 0.4945
 , , , 3.146, 0.4945
 , , , 3.168, 0.4945
 , , , 3.19, 0.4945
 , , , 3.212, 0.4945
 , , , 3.234, 0.4945
 , , , 3.256, 0.4945
 , , , 3.278, 0.4945
 , , , 3.3, 0.4945
 , , , 3.322, 0.4945
 , , , 3.344, 0.4945
 , , , 3.366, 0.4945
 , , , 3.388, 0.4945
 , , , 3.41, 0.4945
 , , , 3.432, 0.4945
 , , , 3.454, 0.4945
 , , , 3.476, 0.4945
 , , , 3.498, 0.4945
 , , , 3.52, 0.4945
 , , , 3.542, 0.4945
 , , , 3.564, 0.4945
 , , , 3.586, 0.4945
 , , , 3.608, 0.4945
 , , , 3.63, 0.4945
 , , , 3.652, 0.4945
 , , , 3.674, 0.4945
 , , , 3.696, 0.4945
 , , , 3.718, 0.4945
 , , , 3.74, 0.4945
 , , , 3.762, 0.4945
 , , , 3.784, 0.4945
 , , , 3.806, 0.4945
 , , , 3.828, 0.4945
 , , , 3.85, 0.4945
 , , , 3.872, 0.4945
 , , , 3.894, 0.4945
 , , , 3.916, 0.4945
 , , , 3.938, 0.4945
 , , , 3.96, 0.4945
 , , , 3.982, 0.4945
 , , , 4.004, 0.4945
 , , , 4.026, 0.4945
 , , , 4.048, 0.4945
 , , , 4.07, 0.4945
 , , , 4.092, 0.4945
 , , , 4.114, 0.4945
 , , , 4.136, 0.4945
 , , , 4.158, 0.4945
 , , , 4.18, 0.4945
 , , , 4.202, 0.4945
 , , , 4.224, 0.4945
 , , , 4.246, 0.4945
 , , , 4.268, 0.4945
 , , , 4.29, 0.4945
 , , , 4.312, 0.4945
 , , , 4.334, 0.4945
 , , , 4.356, 0.4945
 , , , 4.378, 0.4945
 , , , 4.4, 0.4945
 , , , 4.422, 0.4945
 , , , 4.444, 0.4945
 , , , 4.466, 0.4945
 , , , 4.488, 0.4945
 , , , 4.51, 0.4945
 , , , 4.532, 0.4945
 , , , 4.554, 0.4945
 , , , 4.576, 0.4945
 , , , 4.598, 0.4945
 , , , 4.62, 0.4945
 , , , 4.642, 0.4945
 , , , 4.664, 0.4945
 , , , 4.686, 0.4945
 , , , 4.708, 0.4945
 , , , 4.73, 0.4945
 , , , 4.752, 0.4945
 , , , 4.774, 0.4945
 , , , 4.796, 0.4945
 , , , 4.818, 0.4945
 , , , 4.84, 0.4945
 , , , 4.862, 0.4945
 , , , 4.884, 0.4945
 , , , 4.906, 0.4945
 , , , 4.928, 0.4945
 , , , 4.95, 0.4945
 , , , 4.972, 0.4945
 , , , 4.994, 0.4945
 , , , 5.016, 0.4945
 , , , 5.038, 0.4945
 , , , 5.06, 0.4945
 , , , 5.082, 0.4945
 , , , 5.104, 0.4945
 , , , 5.126, 0.4945
 , , , 5.148, 0.4945
 , , , 5.17, 0.4945
 , , , 5.192, 0.4945
 , , , 5.214, 0.4945
 , , , 5.236, 0.4945
 , , , 5.258, 0.4945
 , , , 5.28, 0.4945
 , , , 5.302, 0.4945
 , , , 5.324, 0.4945
 , , , 5.346, 0.4945
 , , , 5.368, 0.4945
 , , , 5.39, 0.4945
 , , , 5.412, 0.4945
 , , , 5.434, 0.4945
 , , , 5.456, 0.4945
 , , , 5.478, 0.4945
 , , , 5.5, 0.4945
 , , , 5.522, 0.4945
 , , , 5.544, 0.4945
 , , , 5.566, 0.4945
 , , , 5.588, 0.4945
 , , , 5.61, 0.4945
 , , , 5.632, 0.4945
 , , , 5.654, 0.4945
 , , , 5.676, 0.4945
 , , , 5.698, 0.4945
 , , , 5.72, 0.4945
 , , , 5.742, 0.4945
 , , , 5.764, 0.4945
 , , , 5.786, 0.4945
 , , , 5.808, 0.4945
 , , , 5.83, 0.4945
 , , , 5.852, 0.4945
 , , , 5.874, 0.4945
 , , , 5.896, 0.4945
 , , , 5.918, 0.4945
 , , , 5.94, 0.4945
 , , , 5.962, 0.4945
 , , , 5.984, 0.4945
 , , , 6.006, 0.4945
 , , , 6.028, 0.4945
 , , , 6.05, 0.4945
 , , , 6.072, 0.4945
 , , , 6.094, 0.4945
 , , , 6.116, 0.4945
 , , , 6.138, 0.4945
 , , , 6.16, 0.4945
 , , , 6.182, 0.4945
 , , , 6.204, 0.4945
 , , , 6.226, 0.4945
 , , , 6.248, 0.4945
 , , , 6.27, 0.4945
 , , , 6.292, 0.4945
 , , , 6.314, 0.4945
 , , , 6.336, 0.4945
 , , , 6.358, 0.4945
 , , , 6.38, 0.4945
 , , , 6.402, 0.4945
 , , , 6.424, 0.4945
 , , , 6.446, 0.4945
 , , , 6.468, 0.4945
 , , , 6.49, 0.4945
 , , , 6.512, 0.4945
 , , , 6.534, 0.4945
 , , , 6.556, 0.4945
 , , , 6.578, 0.4945
 , , , 6.6, 0.4945
 , , , 6.622, 0.4945
 , , , 6.644, 0.4945
 , , , 6.666, 0.4945
 , , , 6.688, 0.4945
 , , , 6.71, 0.4945
 , , , 6.732, 0.4945
 , , , 6.754, 0.4945
 , , , 6.776, 0.4945
 , , , 6.798, 0.4945
 , , , 6.82, 0.4945
 , , , 6.842, 0.4945
 , , , 6.864, 0.4945
 , , , 6.886, 0.4945
 , , , 6.908, 0.4945
 , , , 6.93, 0.4945
 , , , 6.952, 0.4945
 , , , 6.974, 0.4945
