% xData0 , data0, errData0, xTheory0 , theory0
3.9812, 0.5488, 0.0096, 1.019, 0.5444
4.981, 0.5366, 0.009, 1.038, 0.5444
5.9812, 0.4957, 0.0086, 1.057, 0.5444
6.9821, 0.4267, 0.0084, 1.076, 0.5444
7.9839, 0.3723, 0.0077, 1.095, 0.5444
8.9849, 0.3194, 0.0071, 1.114, 0.5444
9.9839, 0.2868, 0.0071, 1.133, 0.5444
10.9817, 0.2461, 0.007, 1.152, 0.5444
11.9838, 0.2126, 0.0074, 1.171, 0.5444
12.9836, 0.1806, 0.0078, 1.19, 0.5444
13.9955, 0.1447, 0.0078, 1.209, 0.5444
14.9947, 0.1187, 0.0083, 1.228, 0.5444
15.995, 0.0745, 0.0078, 1.247, 0.5444
17.9948, 0.0716, 0.0087, 1.266, 0.5444
19.9966, 0.0492, 0.0073, 1.285, 0.5444
 , , , 1.304, 0.5444
 , , , 1.323, 0.5444
 , , , 1.342, 0.5444
 , , , 1.361, 0.5444
 , , , 1.38, 0.5444
 , , , 1.399, 0.5444
 , , , 1.418, 0.5444
 , , , 1.437, 0.5444
 , , , 1.456, 0.5444
 , , , 1.475, 0.5444
 , , , 1.494, 0.5444
 , , , 1.513, 0.5444
 , , , 1.532, 0.5444
 , , , 1.551, 0.5444
 , , , 1.57, 0.5444
 , , , 1.589, 0.5444
 , , , 1.608, 0.5444
 , , , 1.627, 0.5444
 , , , 1.646, 0.5444
 , , , 1.665, 0.5444
 , , , 1.684, 0.5444
 , , , 1.703, 0.5444
 , , , 1.722, 0.5444
 , , , 1.741, 0.5444
 , , , 1.76, 0.5444
 , , , 1.779, 0.5444
 , , , 1.798, 0.5444
 , , , 1.817, 0.5444
 , , , 1.836, 0.5444
 , , , 1.855, 0.5444
 , , , 1.874, 0.5444
 , , , 1.893, 0.5444
 , , , 1.912, 0.5444
 , , , 1.931, 0.5444
 , , , 1.95, 0.5444
 , , , 1.969, 0.5444
 , , , 1.988, 0.5444
 , , , 2.007, 0.5444
 , , , 2.026, 0.5444
 , , , 2.045, 0.5444
 , , , 2.064, 0.5444
 , , , 2.083, 0.5444
 , , , 2.102, 0.5444
 , , , 2.121, 0.5444
 , , , 2.14, 0.5444
 , , , 2.159, 0.5444
 , , , 2.178, 0.5444
 , , , 2.197, 0.5444
 , , , 2.216, 0.5444
 , , , 2.235, 0.5444
 , , , 2.254, 0.5444
 , , , 2.273, 0.5444
 , , , 2.292, 0.5444
 , , , 2.311, 0.5444
 , , , 2.33, 0.5444
 , , , 2.349, 0.5444
 , , , 2.368, 0.5444
 , , , 2.387, 0.5444
 , , , 2.406, 0.5444
 , , , 2.425, 0.5444
 , , , 2.444, 0.5444
 , , , 2.463, 0.5444
 , , , 2.482, 0.5444
 , , , 2.501, 0.5444
 , , , 2.52, 0.5444
 , , , 2.539, 0.5444
 , , , 2.558, 0.5444
 , , , 2.577, 0.5444
 , , , 2.596, 0.5444
 , , , 2.615, 0.5444
 , , , 2.634, 0.5444
 , , , 2.653, 0.5444
 , , , 2.672, 0.5444
 , , , 2.691, 0.5444
 , , , 2.71, 0.5444
 , , , 2.729, 0.5444
 , , , 2.748, 0.5444
 , , , 2.767, 0.5444
 , , , 2.786, 0.5444
 , , , 2.805, 0.5444
 , , , 2.824, 0.5444
 , , , 2.843, 0.5444
 , , , 2.862, 0.5444
 , , , 2.881, 0.5444
 , , , 2.9, 0.5444
 , , , 2.919, 0.5444
 , , , 2.938, 0.5444
 , , , 2.957, 0.5444
 , , , 2.976, 0.5444
 , , , 2.995, 0.5444
 , , , 3.014, 0.5444
 , , , 3.033, 0.5444
 , , , 3.052, 0.5444
 , , , 3.071, 0.5444
 , , , 3.09, 0.5444
 , , , 3.109, 0.5444
 , , , 3.128, 0.5444
 , , , 3.147, 0.5444
 , , , 3.166, 0.5444
 , , , 3.185, 0.5444
 , , , 3.204, 0.5444
 , , , 3.223, 0.5444
 , , , 3.242, 0.5444
 , , , 3.261, 0.5444
 , , , 3.28, 0.5444
 , , , 3.299, 0.5444
 , , , 3.318, 0.5444
 , , , 3.337, 0.5444
 , , , 3.356, 0.5444
 , , , 3.375, 0.5444
 , , , 3.394, 0.5444
 , , , 3.413, 0.5444
 , , , 3.432, 0.5444
 , , , 3.451, 0.5444
 , , , 3.47, 0.5444
 , , , 3.489, 0.5444
 , , , 3.508, 0.5444
 , , , 3.527, 0.5444
 , , , 3.546, 0.5444
 , , , 3.565, 0.5444
 , , , 3.584, 0.5444
 , , , 3.603, 0.5444
 , , , 3.622, 0.5444
 , , , 3.641, 0.5444
 , , , 3.66, 0.5444
 , , , 3.679, 0.5444
 , , , 3.698, 0.5444
 , , , 3.717, 0.5444
 , , , 3.736, 0.5444
 , , , 3.755, 0.5444
 , , , 3.774, 0.5444
 , , , 3.793, 0.5444
 , , , 3.812, 0.5444
 , , , 3.831, 0.5444
 , , , 3.85, 0.5444
 , , , 3.869, 0.5444
 , , , 3.888, 0.5444
 , , , 3.907, 0.544360949
 , , , 3.926, 0.544360949
 , , , 3.945, 0.544360949
 , , , 3.964, 0.544360949
 , , , 3.983, 0.544360949
 , , , 4.002, 0.544360949
 , , , 4.021, 0.544360949
 , , , 4.04, 0.544360949
 , , , 4.059, 0.544360949
 , , , 4.078, 0.544360949
 , , , 4.097, 0.544360949
 , , , 4.116, 0.544360949
 , , , 4.135, 0.544360949
 , , , 4.154, 0.544360949
 , , , 4.173, 0.544360949
 , , , 4.192, 0.544360949
 , , , 4.211, 0.544360949
 , , , 4.23, 0.544360949
