dataT        dataTErr        dataB        dataE        dataTr       dataRALRAR   dataRATRAB   dataSpinRot  Asy          AsyPosErr          AsyNegErr          Sigma        SigmaPosErr        SigmaNegErr        Ph           PhPosErr           PhNegErr           Field        FieldPosErr        FieldNegErr        RelPh_L      RelPh_LPosErr      RelPh_LNegErr      N0_L         N0_LPosErr         N0_LNegErr         N_bkg_L      N_bkg_LPosErr      N_bkg_LNegErr      RelPh_T      RelPh_TPosErr      RelPh_TNegErr      N0_T         N0_TPosErr         N0_TNegErr         N_bkg_T      N_bkg_TPosErr      N_bkg_TNegErr      RelPh_R      RelPh_RPosErr      RelPh_RNegErr      alpha_LR     alpha_LRPosErr     alpha_LRNegErr     N_bkg_R      N_bkg_RPosErr      N_bkg_RNegErr      RelPh_B      RelPh_BPosErr      RelPh_BNegErr      alpha_TB     alpha_TBPosErr     alpha_TBNegErr     N_bkg_B      N_bkg_BPosErr      N_bkg_BNegErr      maxLH        NDF          maxLHred     RUN          
120.001      0.008           1499.8       3.71888      15.019       0.002        -0.006       -10          0.15779       0.00081       0.0008        0.0681        0.0057        0.0061        -150.01       0.6           0.59          1513.489      0.032         0.031         0            0             0             262.5         0.3           0.3           4.93          0.039         0.039         -90.95        0.72          0.72          268.28        0.3           0.3           5.042         0.039         0.039         180           0.73          0.73          0.9991        0.0016        0.0016        5.228         0.039         0.039         90.52         0.73          0.73          0.9397        0.0015        0.0015        4.688         0.038         0.038         20436.1      20361        1.00369      2485         
110.002      0.006           1499.8       3.71967      15.019       0.002        -0.006       -10          0.15809       0.00081       0.0008        0.0649        0.0059        0.0064        -149.17       0.58          0.59          1513.565      0.031         0.031         0            0             0             262.96        0.3           0.3           4.78          0.038         0.038         -90.23        0.72          0.71          268.63        0.3           0.3           4.938         0.039         0.039         178.56        0.72          0.71          0.999         0.0016        0.0016        5.152         0.039         0.039         88.76         0.74          0.73          0.9377        0.0015        0.0015        4.705         0.038         0.038         20767        20361        1.01994      2486         
100.001      0.008           1499.8       3.71987      15           0.003        -0.006       -10          0.15934       0.00082       0.00082       0.0922        0.0047        0.0048        -150.01       0.59          0.59          1513.756      0.033         0.033         0            0             0             263.43        0.3           0.3           4.848         0.039         0.039         -88.93        0.72          0.72          268.4         0.3           0.3           4.936         0.039         0.039         180.65        0.73          0.73          0.9991        0.0016        0.0016        5.253         0.039         0.039         89.79         0.73          0.73          0.9424        0.0015        0.0015        4.794         0.038         0.038         20276.6      20361        0.995855     2487         
90.001       0.006           1499.79      3.71947      15.0191      0.002        -0.006       -10          0.15729       0.00081       0.00081       0.0682        0.0058        0.0062        -151.06       0.58          0.59          1513.939      0.032         0.031         0            0             0             263.19        0.3           0.3           4.791         0.039         0.038         -88.06        0.73          0.71          268.08        0.3           0.3           5.07          0.039         0.039         180.74        0.73          0.72          0.996         0.0016        0.0016        5.257         0.04          0.039         91.29         0.73          0.72          0.9416        0.0015        0.0015        4.703         0.038         0.038         20817.9      20361        1.02244      2488         
80.001       0.005           1499.79      3.71947      15.019       0.002        -0.006       -10          0.15485       0.00095       0.00095       0.2684        0.0043        0.0043        -148.61       0.7           0.68          1513.209      0.057         0.057         0            0             0             261.84        0.3           0.3           4.866         0.039         0.039         -87.62        0.82          0.85          267.69        0.3           0.3           5.009         0.039         0.039         182.56        0.83          0.86          1.0033        0.0016        0.0016        5.215         0.039         0.039         92.29         0.84          0.87          0.9398        0.0015        0.0015        4.713         0.038         0.038         20788.2      20361        1.02098      2489         
70           0.008           1499.79      3.71967      15.019       0.002        -0.006       -10          0.1479        0.0012        0.0012        0.5707        0.0086        0.0084        -143.97       0.9           0.91          1510.98       0.13          0.12          0            0             0             262.34        0.3           0.3           4.771         0.039         0.038         -90.6         1.1           1.1           268.29        0.3           0.3           4.998         0.039         0.039         180.3         1.1           1.1           1.002         0.0016        0.0016        5.24          0.039         0.039         90.6          1.1           1.1           0.9407        0.0015        0.0015        4.649         0.038         0.038         20459.9      20361        1.00486      2490         
60.001       0.004           1499.8       3.71947      15.0189      0.003        -0.006       -10          0.147         0.0014        0.0014        0.747         0.011         0.011         -140.6        1             1             1509.2        0.17          0.17          0            0             0             261.28        0.3           0.3           4.777         0.039         0.038         -92.4         1.2           1.2           268.75        0.3           0.3           4.861         0.039         0.039         177.8         1.2           1.2           1.0073        0.0016        0.0016        5.148         0.039         0.039         86.7          1.2           1.2           0.9345        0.0015        0.0015        4.798         0.038         0.038         20785.1      20361        1.02083      2491         
50           0.004           1499.79      3.71947      15.019       0.002        -0.006       -10          0.1422        0.0014        0.0014        0.861         0.013         0.013         -141.6        1.1           1.1           1507.25       0.22          0.21          0            0             0             263.18        0.3           0.3           4.744         0.038         0.039         -88.5         1.3           1.3           269.06        0.3           0.3           5.062         0.039         0.04          181.5         1.3           1.3           1.0004        0.0016        0.0016        5.298         0.039         0.04          91            1.3           1.3           0.9408        0.0015        0.0015        4.734         0.038         0.038         20799.5      20361        1.02154      2492         
40           0.005           1499.79      3.71967      15.019       0.003        -0.006       -10          0.1381        0.0015        0.0015        0.97          0.016         0.016         -140.2        1.2           1.2           1506.77       0.26          0.26          0            0             0             262.27        0.3           0.3           4.712         0.038         0.038         -90.9         1.4           1.4           269.85        0.3           0.3           4.981         0.039         0.039         181.2         1.4           1.4           1.0097        0.0016        0.0016        5.23          0.039         0.04          89.4          1.4           1.4           0.9379        0.0015        0.0015        4.738         0.038         0.038         20044.5      20361        0.984456     2493         
30           0.004           1499.79      3.71947      15.019       0.003        -0.006       -10          0.1442        0.0016        0.0016        1.094         0.018         0.018         -137.3        1.2           1.2           1505.51       0.29          0.29          0            0             0             259.62        0.3           0.3           4.85          0.038         0.039         -93.2         1.4           1.4           268.18        0.3           0.3           5.057         0.039         0.039         178           1.4           1.4           1.0129        0.0016        0.0016        5.224         0.039         0.039         89.1          1.4           1.4           0.94          0.0015        0.0015        4.568         0.038         0.038         20448.4      20361        1.00429      2494         
